UnitCode,Name,Label,Expr1,IsInSTATS,IsREC,IsRECH,IsNREC,IsNRECH,IsCL,IsCCG,IsBC,IsTT,IsTRVS,IsMISC,IsNROS,Formula
ALFL,Alibates Flint Quarries NM,Number of Visitors entering the Visitor Center,F2,1,1,1,0,0,0,0,0,0,0,0,0,NULL
APIS,Apostle Islands NL,NUMBER OF VISITORS AT ICE CAVES,F107,1,1,0,0,0,0,0,0,0,0,0,0,NULL
TICA,Timpanogos Cave NM,Number of Grotto Talks,F40,0,0,0,0,0,0,0,0,0,0,0,0,NULL
TICA,Timpanogos Cave NM,Grotto Talk Attendance,F41,0,0,0,0,0,0,0,0,0,0,0,0,NULL
TICA,Timpanogos Cave NM,Number of Deck Talks,F42,0,0,0,0,0,0,0,0,0,0,0,0,NULL
TICA,Timpanogos Cave NM,Deck Talk Attendance,F43,0,0,0,0,0,0,0,0,0,0,0,0,NULL
SAAN,San Antonio Missions NHP,TRAFFIC COUNT AT WEST PARKING AREA (MISSION SAN JUAN),F5A,1,1,1,0,0,0,0,0,0,0,0,0,NULL
SAAN,San Antonio Missions NHP,TRAFFIC COUNT AT MISSION SAN JUAN WEST PARKING LOT,F38,1,1,1,0,0,0,0,0,0,0,0,0,"IIF(RY GTE 2014,F5A,F5A/2)"
WAPA,War in the Pacific NHP,DAY USE RESERVATIONS,F13,0,0,0,0,0,0,0,0,0,0,0,0,NULL
DRTO,Dry Tortugas NP,RECREATION VESSELS,F29,0,0,0,0,0,0,0,0,0,0,0,0,F4
DRTO,Dry Tortugas NP,COMMERCIAL REC VESSELS,F30,0,0,0,0,0,0,0,0,0,0,0,0,F4A
DRTO,Dry Tortugas NP,MORNING COMMERCIAL FISHERMAN VESSELS,F31,0,0,0,0,0,0,0,0,0,0,0,0,F5
ABLI,Abraham Lincoln Birthplace NHP,KNOB CREEK VISITATION,F17,1,1,1,0,0,0,0,0,0,0,0,0,(F13-F12)*PPV
SAAN,San Antonio Missions NHP,MISSION CONCEPCION NON-REPORTABLE VEHICLES,F41,1,1,1,0,0,0,0,0,0,0,0,0,"IIF(RY GTE 2014,464,IIF(RY LTE 2003,960,0))"
SAAN,San Antonio Missions NHP,ESPADA AND ACEQUIA NON-REPORTABLE VEHICLES,F54,1,1,1,0,0,0,0,0,0,0,0,0,"IIF(RY GTE 2014,435,0)"
SAAN,San Antonio Missions NHP,ACEQUIA  PARK VISITORS,F55,0,0,0,0,0,0,0,0,0,0,0,0,"((F34-F54)*IIF(RM GTE 6 AND RM LTE 9,2.8,1.8))+F62"
SAAN,San Antonio Missions NHP,ESPADA PARK VISITORS,F56,0,0,0,0,0,0,0,0,0,0,0,0,"((F35-F54)*IIF(RM GTE 6 AND RM LTE 9,2.8,1.8))+F61"
SAAN,San Antonio Missions NHP,WALKERS/BIKE USERS ESTIMATE,F57,1,1,0,0,0,0,0,0,0,0,0,0,"IIF(RM GTE 6 AND RM LTE 8,750,1500)"
SAAN,San Antonio Missions NHP,"MISSION CONCEPCION TOTAL UNADJUSTED VISITORS ",F13A,1,0,1,0,0,0,0,0,0,0,0,0,(((F27-F41)-F68)*2.6)+(F68*32)+F59+F48
SAAN,San Antonio Missions NHP,MISSION SAN JOSE WITH CHURCH ATTENDANCE,F19A,1,0,1,0,0,0,0,0,0,0,0,0,F19+F50
SAAN,San Antonio Missions NHP,ACEQUIA PARK  UNCOUNTED VISITATION,F61,1,1,1,0,0,0,0,0,0,0,0,0,NULL
SAAN,San Antonio Missions NHP,ESPADA PARK  UNCOUNTED VISITATION,F62,1,1,1,0,0,0,0,0,0,0,0,0,NULL
SAAN,San Antonio Missions NHP,"HIKE AND BIKE TRAIL  UNCOUNTED VISITATION ",F63,1,1,1,0,0,0,0,0,0,0,0,0,NULL
SAAN,San Antonio Missions NHP,MISSION SAN JUAN  UNCOUNTED VISITATION,F64,1,1,1,0,0,0,0,0,0,0,0,0,NULL
